id,correct_sentence,sentence_with_a_mistake,mistake_type
0,И сиял оскал его белее того снега!,И сиял оскал его белее того снега!,нет ошибки
1,"Я заметил, что наш кулич был гораздо белее того, какой был у соседей.","Я заметил, что наш кулич был гораздо белее того, какой был у соседей.",нет ошибки
2,Но сегодня ей предстояло везти сына на тренировку по футболу.,Но сегодня ей предстояло везти сына на тренировку по футболу.,нет ошибки
3,"Если делать и то и другое, то всё получится плохо.","Если делать и то и другое, то всё получиться плохо.",тся-ться
4,Все удалится без пересборки индекса.,Все удалиться без пересборки индекса.,тся-ться
5,Белки должны увеличиться почти в 2 раза.,Белки должны увеличится почти в 2 раза.,тся-ться
6,"Очевидно, им нравится подвергать себя опасности.","Очевидно, им нравиться подвергать себя опасности.",тся-ться
7,"Впрочем, чтобы разобраться, на каком слоге стоит ударение в каждом случае, приходится тщательно вслушиваться.","Впрочем, чтобы разобраться, на каком слоге стоит ударение в каждом случае, приходиться тщательно вслушиваться.",тся-ться
8,К нему надо как к вазе относиться.,К нему надо как к вазе относится.,тся-ться
9,"Да не надо тебе краситься, вот лишь бы что-нибудь сделать с собой.","Да не надо тебе красится, вот лишь бы что-нибудь сделать с собой.",тся-ться
10,А по аналогичному запросу все находится.,А по аналогичному запросу все находиться.,тся-ться
11,"Однако в депеше говорится, что надо срочно ехать","Однако в депеше говориться, что надо срочно ехать",тся-ться
12,"Следующим летом, если удастся, тоже поедем туда","Следующим летом, если удасться, тоже поедем туда",тся-ться без пар
13,Это совершенно скандальная информация.,Это совершено скандальная информация.,н-нн
14,"Вы можете запретить ему выходить одному на улицу поздно вечером, поскольку это опасно. ","Вы можете запретить ему выходить одному на улицу поздно веером, поскольку это опасно. ",опечатки из списка
15,Вчера вечером шёл снег.,Вчера веером шёл снег.,опечатки из списка
16,Буду с радостью прочитывать ваши предложения по поводу группы и её развития!,Буду с радостью прочитывать вши предложения по поводу группы и её развития!,опечатки из списка
17,"Вероятно, оба ваши предположения не лишены основания.","Вероятно, оба вши предположения не лишены основания.",опечатки из списка
18,Я без колебаний велел бы его арестовать.,Я бес колебаний велел бы его арестовать.,опечатки из списка
19,"Он сообщил открытым текстом, но без подробностей.","Он сообщил открытым текстом, но бес подробностей.",опечатки из списка
20,"В результате получатся удлинённые трубочки, из которых уже можно плести без проблем.","В результате получатся удлинённые трубочки, из которых уже можно плести бес проблем.",опечатки из списка
21,"Более того, это не принято в цивилизованном обществе","Белее того, это не принято в цивилизованном обществе",опечатки из списка
22,"Несмотря на указанные обстоятельства, предприниматель не издал приказ о приеме на работу названного работника, не заключил с ней трудовой договор, белее того, узнав о беременности работника попросил на работу не выходить.","Несмотря на указанные обстоятельства, предприниматель не издал приказ о приеме на работу названного работника, не заключил с ней трудовой договор, более того, узнав о беременности работника попросил на работу не выходить.",опечатки из списка
23,Есть лишь более или менее правдоподобные теории и наблюдения.,Есть лишь белее или менее правдоподобные теории и наблюдения.,опечатки из списка
24,"Этому теплолюбивому растению у нас дома просто не хватает тепла и света, столетник практически не цветёт и имеет более чем скромные по сравнению с африканским размеры.","Этому теплолюбивому растению у нас дома просто не хватает тепла и света, столетник практически не цветёт и имеет белее чем скромные по сравнению с африканским размеры.",опечатки из списка
25,Он считается без вести пропавшим.,Он считается без везти пропавшим.,опечатки из списка
26,Ушлый таксист собрался везти явного провинциала окружным путём.,Ушлый таксист собрался вести явного провинциала окружным путём.,опечатки из списка
27,Полученную трубочку разрезали на кусочки нужной длины.,Полученную трубочку разрезали на кусочки нужной длинны.,опечатки прочие
28,"Давным-давно, в прошлом веке, моему брату было лет 13 и учился он в 7-ом классе.","Давным-давно, в пошлом веке, моему брату было лет 13 и учился он в 7-ом классе.",опечатки прочие
29,В течение года этот показатель у Яндекса опускался ниже Гугла.,В течении года этот показатель у Яндекса опускался ниже Гугла.,в течение
30,Дело тут не в их нежелании работать или лени.,Дело тут ни в их нежелании работать или лени.,не/ни-1
31,"Прошло много лет, но он нисколько не изменился.","Прошло много лет, но он несколько не изменился.",не/ни-2
32,"Никто не может противостоять тому, что прописано судьбой, дорогая.","Не кто не может противостоять тому, что прописано судьбой, дорогая.",не/ни-3
33,Людей ничто не учит!,Людей ни что не учит!,"не,ни-4"
34,Не давайте никому морочить вам голову,Не давайте ни кому морочить вам голову,"не,ни-4"
35,Нельзя надевать одно и то же для повседневной работы и для важной встречи.,Нельзя надевать одно и тоже для повседневной работы и для важной встречи.,"тоже, чтоб"
36,В одно и то же озеро можно заходить и выходить хоть тысячу раз.,В одно и тоже озеро можно заходить и выходить хоть тысячу раз.,"тоже, чтоб"
37,Из-за необычно обильных дождей степь в этом году цвела особенно пышно.,Из за необычно обильных дождей степь в этом году цвела особенно пышно.,из-за
38,"С остальными, наверное, как-то так же.","С остальными, наверное, как то так же.","то, таки"
39,Иначе все это бестолку.,Иначе все это бес толку.,пробел в наречиях
40,Письмо с фотографиями дошло без вложений.,Письмо фотографиями дошло без вложений.,пропуск предлога
41,Прага на целых 10 градусов южнее родного Питера.,Прага целых 10 градусов южнее родного Питера.,пропуск предлога
42,Физический выход человека в космос пока ещё не означает возможность его влияния на природу в мегамасштабах.,Физический выход человека в космос пока ещё не означает возможность его влияния на природу в мега масштабах.,сложное слово
